"","Anno","Mese","Municipio","Incidenti","Feriti","Morti"
"829",2007,11,8,171,234,1
"830",2007,11,9,188,255,0
"831",2007,12,NA,48,65,0
"832",2007,12,1,146,183,0
"833",2007,12,2,68,84,0
"834",2007,12,3,130,167,0
"835",2007,12,4,110,147,0
"836",2007,12,5,107,142,1
"837",2007,12,6,85,109,0
"838",2007,12,7,109,162,0
"839",2007,12,8,133,193,0
"840",2007,12,9,145,196,0
"841",2008,1,NA,36,55,2
"842",2008,1,1,100,136,1
"843",2008,1,2,62,88,0
"844",2008,1,3,125,171,0
"845",2008,1,4,108,145,1
"846",2008,1,5,88,143,0
"847",2008,1,6,78,104,1
"848",2008,1,7,92,122,0
"849",2008,1,8,157,222,2
"850",2008,1,9,144,208,0
"851",2008,2,NA,43,61,1
"852",2008,2,1,135,211,1
"853",2008,2,2,81,106,0
"854",2008,2,3,142,190,0
"855",2008,2,4,110,149,0
"856",2008,2,5,104,145,0
"857",2008,2,6,80,104,2
